SrNum,Time,Type,Dir,PatNum,From,To
1,480,slow,DOWN,PAT038,ADH,BVI
2,480,slow,UP,PAT042,VR,ADH
3,480,fast,UP,PAT065,VR,ADH
4,480,slow,DOWN,PAT028,DDR,BVI
5,480,fast,DOWN,PAT044,CCG,BVI
6,480,slow,DOWN,PAT041,CCG,ADH
7,480,slow,UP,PAT071,BYR,ADH
8,480,fast,DOWN,PAT062,DDR,BVI
9,480,fast,DOWN,PAT036,ADH,BYR
10,480,fast,UP,PAT058,ADH,CCG
11,487,slow,UP,PAT042,VR,ADH
12,487,fast,UP,PAT065,VR,ADH
13,493,slow,UP,PAT042,VR,ADH
14,493,fast,UP,PAT065,VR,ADH
15,495,fast,UP,PAT058,ADH,CCG
16,500,slow,DOWN,PAT021,ADH,VR
17,500,slow,UP,PAT042,VR,ADH
18,500,fast,UP,PAT065,VR,ADH
19,500,fast,DOWN,PAT048,CCG,BYR
20,507,slow,UP,PAT027,VR,BA
21,507,fast,UP,PAT045,VR,BA
22,510,slow,UP,PAT059,ADH,CCG
23,510,fast,DOWN,PAT034,DDR,BYR
24,510,slow,DOWN,PAT028,DDR,BVI
25,510,fast,DOWN,PAT020,ADH,VR
26,510,slow,DOWN,PAT043,CCG,BVI
27,510,fast,UP,PAT058,ADH,CCG
28,510,slow,UP,PAT053,BVI,CCG
29,510,slow,UP,PAT061,BA,CCG
30,513,slow,UP,PAT055,VR,CCG
31,513,fast,UP,PAT045,VR,BA
32,520,fast,DOWN,PAT018,CCG,VR
33,520,fast,UP,PAT054,VR,CCG
34,520,slow,UP,PAT015,VR,DDR
35,520,slow,DOWN,PAT021,ADH,VR
36,525,fast,UP,PAT058,ADH,CCG
37,527,fast,UP,PAT054,VR,CCG
38,527,slow,UP,PAT015,VR,DDR
39,533,fast,UP,PAT054,VR,CCG
40,533,slow,UP,PAT015,VR,DDR
41,540,fast,UP,PAT054,VR,CCG
42,540,fast,DOWN,PAT023,DDR,VR
43,540,slow,DOWN,PAT019,CCG,VR
44,540,fast,DOWN,PAT018,CCG,VR
45,540,slow,UP,PAT057,BYR,CCG
46,540,fast,UP,PAT058,ADH,CCG
47,540,slow,DOWN,PAT021,ADH,VR
48,540,fast,DOWN,PAT020,ADH,VR
49,540,slow,DOWN,PAT024,DDR,VR
50,540,slow,UP,PAT015,VR,DDR
