Pattern_ID,Pattern_Name,Track_Type,Segment_1,Time_1,Segment_2,Time_2,Segment_3,Time_3,Segment_4,Time_4,Segment_5,Time_5,Segment_6,Time_6,Segment_7,Time_7,Segment_8,Time_8,Segment_9,Time_9,Segment_10,Time_10,Segment_11,Time_11,Segment_12,Time_12,Segment_13,Time_13,Segment_14,Time_14,Segment_15,Time_15,Segment_16,Time_16,Segment_17,Time_17,Segment_18,Time_18,Segment_19,Time_19,Segment_20,Time_20,Segment_21,Time_21,Segment_22,Time_22,Segment_23,Time_23,Segment_24,Time_24,Segment_25,Time_25,Segment_26,Time_26,Segment_27,Time_27,Segment_28,Time_28,Segment_29,Time_29,Segment_30,Time_30,Segment_31,Time_31,Segment_32,Time_32,Segment_33,Time_33,Segment_34,Time_34,Segment_35,Time_35
PAT001,CCG-DRD-Fast,fast,CCG-MEL,3,MEL-DDR,6,DDR-BA,5,BA-ADH,9,ADH-BVI,15,BVI-BYR,12,BYR-BSR,9,BSR-VR,9,VR-DRD,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAT002,CCG-DRD-Slow,slow,CCG-GTR,2,GTR-CHG,2,CHG-MCT,2,MCT-MSD,3,MSD-LPD,3,LPD-ELR,2,ELR-DDR,3,DDR-MOM,3,MOM-MPL,2,MPL-BA,3,BA-KHAR,3,KHAR-STC,3,STC-VLP,3,VLP-ADH,3,ADH-JOS,4,JOS-GMN,3,GMN-MLND,3,MLND-KILE,2,KILE-DMU,3,DMU-BVI,3,BVI-BYR,4,BYR-NAI,3,NAI-BSR,4,BSR-JNL,3,JNL-VR,6,VR-VGN,14,VGN-SAH,7,SAH-KLV,5,KLV-PLG,16,PLG-UOI,6,UOI-BOR,5,BOR-VGN,7,VGN-DRD,14,,,,
PAT003,ADH-DRD-Fast,fast,ADH-BVI,15,BVI-BYR,12,BYR-BSR,9,BSR-VR,9,VR-DRD,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAT004,DDR-DRD-Fast,fast,DDR-BA,5,BA-ADH,9,ADH-BVI,15,BVI-BYR,12,BYR-BSR,9,BSR-VR,9,VR-DRD,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAT005,BVI-DRD-Fast,fast,BVI-BYR,12,BYR-BSR,9,BSR-VR,9,VR-DRD,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAT007,VR-DRD-Slow,slow,VR-VGN,14,VGN-SAH,7,SAH-KLV,5,KLV-PLG,16,PLG-UOI,6,UOI-BOR,5,BOR-VGN,7,VGN-DRD,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAT008,DRD-ADH-Fast,fast,DRD-VR,74,VR-BSR,9,BSR-BYR,9,BYR-BVI,12,BVI-ADH,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAT009,DRD-BVI-Fast,fast,DRD-VR,74,VR-BSR,9,BSR-BYR,9,BYR-BVI,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAT010,DRD-DDR-Fast,fast,DRD-VR,74,VR-BSR,9,BSR-BYR,9,BYR-BVI,12,BVI-ADH,15,ADH-BA,9,BA-DDR,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAT011,DRD-CCG-Fast,fast,DRD-VR,74,VR-BSR,9,BSR-BYR,9,BYR-BVI,12,BVI-ADH,15,ADH-BA,9,BA-DDR,5,DDR-MEL,6,MEL-CCG,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
