SrNum,Original_Time,Type,Dir,PatNum,From,To,CCGa,CCGd,MCTa,MCTd,DDRa,DDRd,BAa,BAd,ADHa,ADHd,GMNa,GMNd,BVIa,BVId,BYRa,BYRd,BSRa,BSRd,VRa,VRd,DRDa,DRDd,Optimized_Start_Time
1,480,slow,DOWN,PAT038,ADH,BVI,,,,,,,,,,480.0,487.0,487.0,498.0,,,,,,,,,,480.0
2,480,slow,UP,PAT042,VR,ADH,,,,,,,,,518.0,,511.0,511.0,503.0,503.0,496.0,496.0,490.0,490.0,,480.0,,,480.0
3,480,fast,UP,PAT065,VR,ADH,,,,,,,,,525.0,,,,510.0,510.0,498.0,498.0,489.0,489.0,,480.0,,,480.0
4,480,slow,DOWN,PAT028,DDR,BVI,,,,,,480.0,488.0,488.0,500.0,500.0,507.0,507.0,518.0,,,,,,,,,,480.0
5,480,fast,DOWN,PAT044,CCG,BVI,,480.0,,,489.0,489.0,494.0,494.0,503.0,503.0,,,518.0,,,,,,,,,,480.0
6,480,slow,DOWN,PAT041,CCG,ADH,,480.0,486.0,486.0,497.0,497.0,505.0,505.0,517.0,,,,,,,,,,,,,,480.0
7,480,slow,UP,PAT071,BYR,ADH,,,,,,,,,502.0,,495.0,495.0,487.0,487.0,,480.0,,,,,,,480.0
12,487,fast,UP,PAT065,VR,ADH,,,,,,,,,533.67,,,,518.67,518.67,506.67,506.67,497.67,497.67,,488.67,,,488.67
11,487,slow,UP,PAT042,VR,ADH,,,,,,,,,526.67,,519.67,519.67,511.67,511.67,504.67,504.67,498.67,498.67,,488.67,,,488.67
9,480,fast,DOWN,PAT036,ADH,BYR,,,,,,,,,,491.0,,,506.0,506.0,518.0,,,,,,,,491.0
8,480,fast,DOWN,PAT062,DDR,BVI,,,,,,492.0,497.0,497.0,506.0,506.0,,,521.0,,,,,,,,,,492.0
10,480,fast,UP,PAT058,ADH,CCG,518.0,,,,509.0,509.0,504.0,504.0,,495.0,,,,,,,,,,,,,495.0
13,493,slow,UP,PAT042,VR,ADH,,,,,,,,,535.33,,528.33,528.33,520.33,520.33,513.33,513.33,507.33,507.33,,497.33,,,497.33
14,493,fast,UP,PAT065,VR,ADH,,,,,,,,,542.33,,,,527.33,527.33,515.33,515.33,506.33,506.33,,497.33,,,497.33
19,500,fast,DOWN,PAT048,CCG,BYR,,500.67,,,509.67,509.67,514.67,514.67,523.67,523.67,,,538.67,538.67,550.67,,,,,,,,500.67
17,500,slow,UP,PAT042,VR,ADH,,,,,,,,,544.33,,537.33,537.33,529.33,529.33,522.33,522.33,516.33,516.33,,506.33,,,506.33
16,500,slow,DOWN,PAT021,ADH,VR,,,,,,,,,,506.67,513.67,513.67,524.67,524.67,528.67,528.67,535.67,535.67,544.67,,,,506.67
21,507,fast,UP,PAT045,VR,BA,,,,,,,562.33,,553.33,553.33,,,538.33,538.33,526.33,526.33,517.33,517.33,,508.33,,,508.33
20,507,slow,UP,PAT027,VR,BA,,,,,,,559.33,,547.33,547.33,540.33,540.33,532.33,532.33,525.33,525.33,519.33,519.33,,509.33,,,509.33
15,495,fast,UP,PAT058,ADH,CCG,533.0,,,,524.0,524.0,519.0,519.0,,510.0,,,,,,,,,,,,,510.0
24,510,slow,DOWN,PAT028,DDR,BVI,,,,,,510.0,518.0,518.0,530.0,530.0,537.0,537.0,548.0,,,,,,,,,,510.0
18,500,fast,UP,PAT065,VR,ADH,,,,,,,,,556.33,,,,541.33,541.33,529.33,529.33,520.33,520.33,,511.33,,,511.33
23,510,fast,DOWN,PAT034,DDR,BYR,,,,,,512.67,517.67,517.67,526.67,526.67,,,541.67,541.67,553.67,,,,,,,,512.67
26,510,slow,DOWN,PAT043,CCG,BVI,,512.67,518.67,518.67,529.67,529.67,537.67,537.67,549.67,549.67,556.67,556.67,567.67,,,,,,,,,,512.67
30,513,slow,UP,PAT055,VR,CCG,588.0,,582.0,582.0,571.0,571.0,563.0,563.0,551.0,551.0,544.0,544.0,536.0,536.0,529.0,529.0,523.0,523.0,,513.0,,,513.0
22,510,slow,UP,PAT059,ADH,CCG,551.0,,545.0,545.0,534.0,534.0,526.0,526.0,,514.0,,,,,,,,,,,,,514.0
32,520,fast,DOWN,PAT018,CCG,VR,,520.0,,,529.0,529.0,534.0,534.0,543.0,543.0,,,558.0,558.0,570.0,570.0,579.0,579.0,588.0,,,,520.0
33,520,fast,UP,PAT054,VR,CCG,588.0,,,,579.0,579.0,574.0,574.0,565.0,565.0,,,550.0,550.0,538.0,538.0,529.0,529.0,,520.0,,,520.0
34,520,slow,UP,PAT015,VR,DDR,,,,,578.0,,570.0,570.0,558.0,558.0,551.0,551.0,543.0,543.0,536.0,536.0,530.0,530.0,,520.0,,,520.0
25,510,fast,DOWN,PAT020,ADH,VR,,,,,,,,,,520.67,,,535.67,535.67,547.67,547.67,556.67,556.67,565.67,,,,520.67
28,510,slow,UP,PAT053,BVI,CCG,578.33,,572.33,572.33,561.33,561.33,553.33,553.33,541.33,541.33,534.33,534.33,,523.33,,,,,,,,,523.33
27,510,fast,UP,PAT058,ADH,CCG,550.0,,,,541.0,541.0,536.0,536.0,,527.0,,,,,,,,,,,,,527.0
38,527,slow,UP,PAT015,VR,DDR,,,,,586.67,,578.67,578.67,566.67,566.67,559.67,559.67,551.67,551.67,544.67,544.67,538.67,538.67,,528.67,,,528.67
29,510,slow,UP,PAT061,BA,CCG,554.0,,548.0,548.0,537.0,537.0,,529.0,,,,,,,,,,,,,,,529.0
31,513,fast,UP,PAT045,VR,BA,,,,,,,586.0,,577.0,577.0,,,562.0,562.0,550.0,550.0,541.0,541.0,,532.0,,,532.0
